attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,date,field_type,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,other_info_string,start_time,venue
"47,820']",Houston Astros,0,6,5,https://www.baseball-reference.com/boxes/NYA/NYA201604050.shtml,"Tuesday, April 5, 2016",,: 3:17,"Day Game, on grass",New York Yankees,1,4,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Dana DeMuth, 1B - Greg Gibson, 2B - Ed Hickox, 3B - Mike Estabrook.</div><div><strong>Time of Game:</strong> 3:17.</div>
<div><strong>Attendance:</strong> 47,820.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 36&deg; F, Wind 18mph from Left to Right, Sunny.</div>

    </div>

-->",Start Time: 1:11 p.m. Local,: Yankee Stadium III
"24,123']",San Francisco Giants,0,7,2,https://www.baseball-reference.com/boxes/MIL/MIL201604050.shtml,"Tuesday, April 5, 2016",,: 2:29,"Night Game, on grass",Milwaukee Brewers,0,6,1,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Mark Carlson, 1B - Mike DiMuro, 2B - Quinn Wolcott, 3B - Brian Gorman.</div><div><strong>Time of Game:</strong> 2:29.</div>
<div><strong>Attendance:</strong> 24,123.</div>
<div><strong>Start Time Weather:</strong> 64&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Miller Park
"36,911']",Detroit Tigers,1,12,8,https://www.baseball-reference.com/boxes/MIA/MIA201604050.shtml,"Tuesday, April 5, 2016",,: 3:47,"Night Game, on grass",Miami Marlins,2,10,7,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Joe West, 1B - Kerwin Danley, 2B - Andy Fletcher, 3B - Mark Ripperger.</div><div><strong>Time of Game:</strong> 3:47.</div>
<div><strong>Attendance:</strong> 36,911.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 77&deg; F, Wind 16mph from Left to Right, Sunny.</div>

    </div>

-->",Start Time: 7:37 p.m. Local,: Marlins Park
"13,468']",Texas Rangers,0,14,7,https://www.baseball-reference.com/boxes/SEA/SEA201604110.shtml,"Monday, April 11, 2016",,: 3:00,"Night Game, on grass",Seattle Mariners,0,7,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Jeff Nelson, 1B - Doug Eddings, 2B - Laz Diaz, 3B - Cory Blaser.</div><div><strong>Time of Game:</strong> 3:00.</div>
<div><strong>Attendance:</strong> 13,468.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 57&deg; F, Wind 2mph in from Leftfield.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Safeco Field
"45,229']",San Diego Padres,0,6,4,https://www.baseball-reference.com/boxes/PHI/PHI201604110.shtml,"Monday, April 11, 2016",,: 2:51,"Day Game, on grass",Philadelphia Phillies,0,8,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Ted Barrett, 1B - Angel Hernandez, 2B - Lance Barksdale, 3B - Will Little.</div><div><strong>Time of Game:</strong> 2:51.</div>
<div><strong>Attendance:</strong> 45,229.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 66&deg; F, Wind 17mph out to Leftfield.</div>

    </div>

-->",Start Time: 3:09 p.m. Local,: Citizens Bank Park
"13,371']",Los Angeles Angels of Anaheim,0,9,4,https://www.baseball-reference.com/boxes/OAK/OAK201604110.shtml,"Monday, April 11, 2016",,: 3:05,"Night Game, on grass",Oakland Athletics,0,10,1,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Larry Vanover, 1B - Alfonso Marquez, 2B - Chris Guccione, 3B - David Rackley.</div><div><strong>Time of Game:</strong> 3:05.</div>
<div><strong>Attendance:</strong> 13,371.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 63&deg; F, Wind 11mph out to Rightfield, Cloudy.</div>

    </div>

-->",Start Time: 7:07 p.m. Local,: Oakland-Alameda County Coliseum
"24,318']",Miami Marlins,1,15,10,https://www.baseball-reference.com/boxes/NYN/NYN201604110.shtml,"Monday, April 11, 2016",,: 3:45,"Night Game, on grass",New York Mets,0,7,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Jordan Baker, 1B - Tim Timmons, 2B - Mike Everitt, 3B - Paul Emmel.</div><div><strong>Time of Game:</strong> 3:45.</div>
<div><strong>Attendance:</strong> 24,318.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 57&deg; F, Wind 15mph out to Leftfield.</div>

    </div>

-->",Start Time: 7:11 p.m. Local,: Citi Field
"40,638']",Chicago White Sox,0,9,4,https://www.baseball-reference.com/boxes/MIN/MIN201604110.shtml,"Monday, April 11, 2016",,: 3:05,"Day Game, on grass",Minnesota Twins,1,6,1,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Kerwin Danley, 1B - Andy Fletcher, 2B - Mark Ripperger, 3B - Joe West.</div><div><strong>Time of Game:</strong> 3:05.</div>
<div><strong>Attendance:</strong> 40,638.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 42&deg; F, Wind 21mph in from Leftfield, Cloudy.</div>

    </div>

-->",Start Time: 3:16 p.m. Local,: Target Field
"43,332']",Kansas City Royals,0,11,2,https://www.baseball-reference.com/boxes/HOU/HOU201604110.shtml,"Monday, April 11, 2016",,: 2:59,"Night Game, on grass",Houston Astros,0,14,8,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Adrian Johnson, 1B - Gary Cederstrom, 2B - Eric Cooper, 3B - Jim Wolf.</div><div><strong>Time of Game:</strong> 2:59.</div>
<div><strong>Attendance:</strong> 43,332.</div>
<div><strong>Start Time Weather:</strong> 73&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 7:12 p.m. Local,: Minute Maid Park
"26,271']",Pittsburgh Pirates,1,17,7,https://www.baseball-reference.com/boxes/DET/DET201604110.shtml,"Monday, April 11, 2016",,: 3:17,"Day Game, on grass",Detroit Tigers,0,6,4,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Ron Kulpa, 1B - Gabe Morales, 2B - Paul Nauert, 3B - Jerry Meals.</div><div><strong>Time of Game:</strong> 3:17.</div>
<div><strong>Attendance:</strong> 26,271.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 56&deg; F, Wind 9mph in from Rightfield, Overcast.</div>

    </div>

-->",Start Time: 1:10 p.m. Local,: Comerica Park
"40,882']",Cincinnati Reds,1,7,3,https://www.baseball-reference.com/boxes/CHN/CHN201604110.shtml,"Monday, April 11, 2016",,: 3:03,"Night Game, on grass",Chicago Cubs,0,3,5,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - John Tumpane, 1B - Jeff Kellogg, 2B - Brian O'Nora, 3B - Alan Porter.</div><div><strong>Time of Game:</strong> 3:03.</div>
<div><strong>Attendance:</strong> 40,882.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 48&deg; F, Wind 12mph from Left to Right, Cloudy.</div>

    </div>

-->",Start Time: 7:06 p.m. Local,: Wrigley Field
"21,203']",Kansas City Royals,0,13,6,https://www.baseball-reference.com/boxes/HOU/HOU201604140.shtml,"Thursday, April 14, 2016",,: 2:41,"Night Game, on grass",Houston Astros,0,5,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Jim Wolf, 1B - Adrian Johnson, 2B - Gary Cederstrom, 3B - Eric Cooper.</div><div><strong>Time of Game:</strong> 2:41.</div>
<div><strong>Attendance:</strong> 21,203.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 75&deg; F, Wind 2mph out to Leftfield, Cloudy.</div>

    </div>

-->",Start Time: 7:11 p.m. Local,: Minute Maid Park
"21,226']",San Francisco Giants,1,9,6,https://www.baseball-reference.com/boxes/COL/COL201604140.shtml,"Thursday, April 14, 2016",,: 3:26,"Day Game, on grass",Colorado Rockies,3,13,11,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Carlos Torres, 1B - Gerry Davis, 2B - Sam Holbrook, 3B - Rob Drake.</div><div><strong>Time of Game:</strong> 3:26.</div>
<div><strong>Attendance:</strong> 21,226.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 72&deg; F, Wind 12mph out to Centerfield, Cloudy.</div>

    </div>

-->",Start Time: 1:10 p.m. Local,: Coors Field
"34,898']",Cincinnati Reds,2,6,1,https://www.baseball-reference.com/boxes/CHN/CHN201604140.shtml,"Thursday, April 14, 2016",,: 3:07,"Night Game, on grass",Chicago Cubs,0,11,8,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Brian O'Nora, 1B - Alan Porter, 2B - John Tumpane, 3B - Jeff Kellogg.</div><div><strong>Time of Game:</strong> 3:07.</div>
<div><strong>Attendance:</strong> 34,898.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 45&deg; F, Wind 8mph out to Centerfield, Sunny.</div>

    </div>

-->",Start Time: 7:05 p.m. Local,: Wrigley Field
"19,400']",Atlanta Braves,0,5,0,https://www.baseball-reference.com/boxes/WAS/WAS201604130.shtml,"Wednesday, April 13, 2016",,: 2:12,"Night Game, on grass",Washington Nationals,0,4,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Bob Davidson, 1B - Lance Barrett, 2B - Dale Scott, 3B - Dan Iassogna.</div><div><strong>Time of Game:</strong> 2:12.</div>
<div><strong>Attendance:</strong> 19,400.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 56&deg; F, Wind 0mph, Sunny.</div>

    </div>

-->",Start Time: 7:05 p.m. Local,: Nationals Park
"27,938']",New York Yankees,1,8,2,https://www.baseball-reference.com/boxes/TOR/TOR201604130.shtml,"Wednesday, April 13, 2016",,: 2:43,"Night Game, on turf",Toronto Blue Jays,0,10,7,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Chad Fairchild, 1B - Jim Joyce, 2B - Marvin Hudson, 3B - James Hoye.</div><div><strong>Time of Game:</strong> 2:43.</div>
<div><strong>Attendance:</strong> 27,938.</div>
<div><strong>Start Time Weather:</strong> 68&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 7:08 p.m. Local,: Rogers Centre
"16,783']",Toronto Blue Jays,0,8,4,https://www.baseball-reference.com/boxes/BAL/BAL201604190.shtml,"Tuesday, April 19, 2016",,: 2:50,"Night Game, on grass",Baltimore Orioles,1,7,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Tom Hallion, 1B - Tony Randazzo, 2B - Dan Bellino, 3B - Adam Hamari.</div><div><strong>Time of Game:</strong> 2:50.</div>
<div><strong>Attendance:</strong> 16,783.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 69&deg; F, Wind 11mph in from Centerfield, Sunny.</div>

    </div>

-->",Start Time: 7:09 p.m. Local,: Oriole Park at Camden Yards
"14,160']",Los Angeles Dodgers,3,5,1,https://www.baseball-reference.com/boxes/ATL/ATL201604190.shtml,"Tuesday, April 19, 2016",,: 2:57,"Night Game, on grass",Atlanta Braves,0,10,8,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Ted Barrett, 1B - Ben May, 2B - Angel Hernandez, 3B - Will Little.</div><div><strong>Time of Game:</strong> 2:57.</div>
<div><strong>Attendance:</strong> 14,160.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 80&deg; F, Wind 2mph out to Centerfield.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Turner Field
"45,432']",Chicago Cubs,0,9,5,https://www.baseball-reference.com/boxes/SLN/SLN201604180.shtml,"Monday, April 18, 2016",,: 2:32,"Night Game, on grass",St. Louis Cardinals,1,5,0,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Carlos Torres, 1B - Gerry Davis, 2B - Sam Holbrook, 3B - Rob Drake.</div><div><strong>Time of Game:</strong> 2:32.</div>
<div><strong>Attendance:</strong> 45,432.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 75&deg; F, Wind 15mph from Right to Left.</div>

    </div>

-->",Start Time: 7:09 p.m. Local,: Busch Stadium III
"41,432']",Arizona Diamondbacks,0,16,9,https://www.baseball-reference.com/boxes/SFN/SFN201604180.shtml,"Monday, April 18, 2016",,: 4:35,"Night Game, on grass",San Francisco Giants,0,13,7,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Brian Knight, 1B - Todd Tichenor, 2B - Bill Miller, 3B - Pat Hoberg.</div><div><strong>Time of Game:</strong> 4:35.</div>
<div><strong>Attendance:</strong> 41,432.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 67&deg; F, Wind 6mph out to Centerfield, Cloudy.</div>

    </div>

-->",Start Time: 7:16 p.m. Local,: AT&T Park
"21,585']",New York Mets,0,10,5,https://www.baseball-reference.com/boxes/PHI/PHI201604180.shtml,"Monday, April 18, 2016",,: 2:51,"Night Game, on grass",Philadelphia Phillies,0,7,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Greg Gibson, 1B - Ed Hickox, 2B - Mike Estabrook, 3B - Dana DeMuth.</div><div><strong>Time of Game:</strong> 2:51.</div>
<div><strong>Attendance:</strong> 21,585.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 77&deg; F, Wind 4mph out to Centerfield, Sunny.</div>

    </div>

-->",Start Time: 7:07 p.m. Local,: Citizens Bank Park
"21,078']",Milwaukee Brewers,1,6,4,https://www.baseball-reference.com/boxes/MIN/MIN201604180.shtml,"Monday, April 18, 2016",,: 2:21,"Night Game, on grass",Minnesota Twins,1,14,7,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Mike Everitt, 1B - Tim Timmons, 2B - Sean Barber, 3B - Jordan Baker.</div><div><strong>Time of Game:</strong> 2:21.</div>
<div><strong>Attendance:</strong> 21,078.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 67&deg; F, Wind 14mph in from Leftfield.</div>

    </div>

-->",Start Time: 7:11 p.m. Local,: Target Field
"16,112']",Washington Nationals,1,6,1,https://www.baseball-reference.com/boxes/MIA/MIA201604180.shtml,"Monday, April 18, 2016",,: 2:43,"Night Game, on grass",Miami Marlins,0,10,6,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Scott Barry, 1B - Tripp Gibson, 2B - Jerry Layne, 3B - Hunter Wendelstedt.</div><div><strong>Time of Game:</strong> 2:43.</div>
<div><strong>Attendance:</strong> 16,112.</div>
<div><strong>Start Time Weather:</strong> 73&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 7:11 p.m. Local,: Marlins Park
"12,777']",Colorado Rockies,1,7,5,https://www.baseball-reference.com/boxes/CIN/CIN201604180.shtml,"Monday, April 18, 2016",,: 2:41,"Night Game, on grass",Cincinnati Reds,0,4,1,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Jim Wolf, 1B - Adrian Johnson, 2B - Gary Cederstrom, 3B - Eric Cooper.</div><div><strong>Time of Game:</strong> 2:41.</div>
<div><strong>Attendance:</strong> 12,777.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 80&deg; F, Wind 10mph out to Centerfield, Sunny.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Great American Ball Park
"14,706']",Los Angeles Angels of Anaheim,0,13,7,https://www.baseball-reference.com/boxes/CHA/CHA201604180.shtml,"Monday, April 18, 2016",,: 2:58,"Night Game, on grass",Chicago White Sox,1,3,0,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Jerry Meals, 1B - Chris Conroy, 2B - Gabe Morales, 3B - Paul Nauert.</div><div><strong>Time of Game:</strong> 2:58.</div>
<div><strong>Attendance:</strong> 14,706.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 75&deg; F, Wind 12mph in from Leftfield.</div>

    </div>

-->",Start Time: 7:11 p.m. Local,: U.S. Cellular Field
"37,168']",Toronto Blue Jays,0,8,4,https://www.baseball-reference.com/boxes/BOS/BOS201604180.shtml,"Monday, April 18, 2016",,: 3:12,"Day Game, on grass",Boston Red Sox,1,7,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Will Little, 1B - Ted Barrett, 2B - Angel Hernandez, 3B - Lance Barksdale.</div><div><strong>Time of Game:</strong> 3:12.</div>
<div><strong>Attendance:</strong> 37,168.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 66&deg; F, Wind 8mph in from Leftfield, Cloudy.</div>

    </div>

-->",Start Time: 11:07 a.m. Local,: Fenway Park
"21,810']",Chicago White Sox,1,5,2,https://www.baseball-reference.com/boxes/TBA/TBA201604170.shtml,"Sunday, April 17, 2016",,: 2:36,"Day Game, on turf",Tampa Bay Rays,0,8,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - CB Bucknor, 1B - Jim Reynolds, 2B - Manny Gonzalez, 3B - Fieldin Culbreth.</div><div><strong>Time of Game:</strong> 2:36.</div>
<div><strong>Attendance:</strong> 21,810.</div>
<div><strong>Start Time Weather:</strong> 72&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 1:10 p.m. Local,: Tropicana Field
"46,268']",Cincinnati Reds,1,8,3,https://www.baseball-reference.com/boxes/SLN/SLN201604170.shtml,"Sunday, April 17, 2016",,: 2:44,"Day Game, on grass",St. Louis Cardinals,2,7,4,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Paul Nauert, 1B - Jerry Meals, 2B - Ron Kulpa, 3B - Gabe Morales.</div><div><strong>Time of Game:</strong> 2:44.</div>
<div><strong>Attendance:</strong> 46,268.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 78&deg; F, Wind 11mph out to Leftfield, Cloudy.</div>

    </div>

-->",Start Time: 1:15 p.m. Local,: Busch Stadium III
"16,497']",Chicago Cubs,0,18,16,https://www.baseball-reference.com/boxes/CIN/CIN201604210.shtml,"Thursday, April 21, 2016",,: 2:56,"Night Game, on grass",Cincinnati Reds,1,0,0,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Dana DeMuth, 1B - Greg Gibson, 2B - Ed Hickox, 3B - Mike Estabrook.</div><div><strong>Time of Game:</strong> 2:56.</div>
<div><strong>Attendance:</strong> 16,497.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 58&deg; F, Wind 13mph in unknown direction, Overcast.</div>

    </div>

-->",Start Time: 7:11 p.m. Local,: Great American Ball Park
"24,333']",Chicago White Sox,0,11,7,https://www.baseball-reference.com/boxes/TOR/TOR201604250.shtml,"Monday, April 25, 2016",,: 3:24,"Night Game, on turf",Toronto Blue Jays,0,14,5,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Dan Iassogna, 1B - Alan Porter, 2B - John Tumpane, 3B - Lance Barksdale.</div><div><strong>Time of Game:</strong> 3:24.</div>
<div><strong>Attendance:</strong> 24,333.</div>
<div><strong>Start Time Weather:</strong> 68&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 7:08 p.m. Local,: Rogers Centre
